S.No,Name,Latitude,Longitude
411,PHC Aur,31.0689,76.0010
412,PHC Surakhpur,31.4187,75.2661
413,PHC Charik,30.7196,75.1700
414,Bhai Mohkam Singh Memorial Sattelite Hospital,31.6104,74.8755
415,PHC Meemsa,30.3923,75.9592
416,PHC Fatehgarh Panjgarain,30.5191,75.7063
417,PHC Mattewara,30.9802,75.9761
418,PHC Dhianpur,31.9276,75.0825
419,PHC Boor Majra,30.8696,76.5068
420,PHC Didwindi,31.2462,75.2670
421,PHC Aliwal,31.8367,75.1158
422,PHC Ladpur,30.5977,76.1495
423,PHC Udhanwal,31.7327,75.3783
424,PHC Raipur Rasulpur,31.4004,75.5969
425,UPHC Mundi kharar,30.7464,76.6601
426,PHC Balluana,30.2304,74.7872
427,PHC Mullowal,30.3585,75.7412
428,PHC Kheowali Dhab,30.2440,74.0101
429,PHC Panj Grain Kalan,30.6137,74.9144
430,UPHC Haripura,31.6274,74.8492
431,PHC Rangrial,29.9240,75.6593
432,PHC Nanowal,30.8568,76.3127
433,PHC Jogipur,30.3356,76.5070
434,PHC Pojewal,31.1974,76.2757
435,UPHC Kot Khalsa,31.6225,74.8273
436,PHC Rauke,30.6603,75.2701
437,PHC Talwan,31.0109,75.6052
438,PHC Lassuri,31.1019,75.2688
439,PHC Babarpur,30.4726,76.1018
440,PHC Nogawan,30.7416,76.4426
441,PHC Kiratpur Sahib,31.1843,76.5684
442,PHC Boha,29.8303,75.5265
443,PHC Kaunke kalan,30.7679,75.4146
444,PHC Rureke Kalan,30.2530,75.4449
445,RAIPUR,31.2309,75.6744
